,concept,overall,last_quarter,first_quarter,subject,overall_percentile,last_quarter_percentile,last_quarter_difference
92,hg80,0.7021276595744681,0.7272727272727273,0.36363636363636365,gemma_2b,23.80952380952381,9.523809523809524,-0.2727272727272727
93,hg81,0.7435897435897436,0.8888888888888888,0.5555555555555556,gemma_2b,14.285714285714285,42.857142857142854,-0.05228758169934644
94,hg82,0.5135135135135135,0.5555555555555556,0.4444444444444444,gemma_2b,0.0,4.166666666666667,-0.4444444444444444
95,hg83,0.6956521739130435,0.6363636363636364,0.6363636363636364,gemma_2b,9.090909090909092,0.0,-0.36363636363636365
96,hg84,0.717948717948718,0.8888888888888888,0.5555555555555556,gemma_2b,19.047619047619047,33.333333333333336,-0.11111111111111116
97,hg85,0.6976744186046512,0.6,0.6,gemma_2b,8.695652173913043,8.695652173913043,-0.4
98,hg86,0.7804878048780488,0.9,0.9,gemma_2b,30.43478260869565,17.391304347826086,-0.09999999999999998
99,hg87,0.6382978723404256,0.8181818181818182,0.36363636363636365,gemma_2b,10.526315789473685,21.05263157894737,-0.18181818181818177
100,hg88,0.6428571428571429,0.5714285714285714,0.8571428571428571,gemma_2b,52.38095238095238,42.857142857142854,-0.037267080745341685
101,hg89,0.7674418604651163,0.9,0.3,gemma_2b,63.63636363636364,72.72727272727273,0.13809523809523816
102,hg90,0.6829268292682927,0.6,0.7,gemma_2b,61.904761904761905,38.095238095238095,-0.03157894736842104
103,hg91,0.86,0.8333333333333334,0.8333333333333334,gemma_2b,81.81818181818183,54.54545454545455,0.007246376811594235
104,hg92,0.717391304347826,0.9090909090909091,0.5454545454545454,gemma_2b,8.333333333333334,45.833333333333336,-0.040909090909090895
105,hg93,0.875,0.9166666666666666,0.6666666666666666,gemma_2b,90.90909090909092,54.54545454545455,0.016666666666666607
106,hg94,0.813953488372093,0.7,0.8,gemma_2b,50.00000000000001,4.545454545454546,-0.30000000000000004
